FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	California-CA	Wisconsin-WI	Hokkaido-HK	Jena-JN	Kanazawa-KZ	Montpelier-MT	Trento-TR
54142.982472	58206.449913	57946.388031	64635.361727	64659.007016	56350.747426	56601.586217	59582.619749	57943.249594	63202.782979	60461.732584	63809.429203	58254.979735	59391.002929	74723.570641	55759.923224	56171.705868	57777.803528	51626.136434	58946.797408	57677.640587	56072.704745	58127.061439	58701.866777	61415.928774	60225.848319	61220.067730	58005.884769	55157.781749
1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687	1031687
1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968	1267968
0.0427006	0.045905	0.045700	0.050976	0.050994	0.044442	0.044640	0.046991	0.045698	0.049846	0.047684	0.050324	0.045944	0.046840	0.058932	0.043976	0.044301	0.045567	0.040716	0.046489	0.045488	0.044222	0.045843	0.046296	0.048436	0.047498	0.048282	0.045747	0.043501
5215.483467	7064.588070	6826.658480	8766.508559	8702.201293	5744.647476	6087.424807	7084.230253	6428.381462	9030.515829	8501.504740	8719.740956	7267.744725	7175.898065	11792.816430	6586.666168	6483.842865	7240.913407	5109.499634	7533.170496	7129.853630	6058.790373	7523.141080	7396.149066	8461.361877	7576.104996	8357.927989	6993.971043	6066.163289
198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846	198846
264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477	264477
0.01972	0.026712	0.025812	0.033147	0.032903	0.021721	0.023017	0.026786	0.024306	0.034145	0.032145	0.032970	0.027480	0.027132	0.044589	0.024904	0.024516	0.027378	0.019319	0.028483	0.026958	0.022909	0.028445	0.027965	0.031993	0.028646	0.031602	0.026445	0.022936
