4545	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Sap2	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
US-Col	0.165358	0.073332	0.085453	0.045466	0.045639	0.141630	0.125625	0.091989	0.107362	0.038500	0.045299	0.045169	0.007169	0.034559	0.047177	0.058726	0.044766	0.006728	0.144851	0.000000	0.018538	0.131371	0.016133	0.007978	0.038985	0.086904	0.038371	0.087222	0.131366
BR-Pal	0.175402	0.076852	0.088792	0.051155	0.050543	0.149553	0.134073	0.095754	0.114706	0.039298	0.047295	0.051175	0.016973	0.039633	0.050971	0.071664	0.059377	0.016829	0.174416	0.018538	0.000000	0.139222	0.023933	0.018750	0.038951	0.091228	0.038772	0.088218	0.137536
IT-Tre	0.030754	0.022225	0.016519	0.092181	0.088043	0.010968	0.012267	0.015522	0.016411	0.089457	0.099595	0.093559	0.131933	0.139280	0.082610	0.157276	0.160948	0.133804	0.246242	0.131371	0.139222	0.000000	0.123886	0.132151	0.093331	0.018930	0.090280	0.016431	0.010644
US-CAOx	0.154387	0.069413	0.080310	0.042111	0.042029	0.132819	0.118730	0.087161	0.100417	0.036976	0.043927	0.042185	0.017706	0.018082	0.047577	0.034305	0.039289	0.016468	0.115027	0.016133	0.023933	0.123886	0.000000	0.018372	0.037497	0.081645	0.036205	0.084028	0.124849
US-WIOr	0.168224	0.072561	0.084856	0.045922	0.046080	0.142736	0.126579	0.091684	0.107610	0.037615	0.044967	0.045990	0.005588	0.038050	0.046522	0.063480	0.045532	0.006425	0.156201	0.007978	0.018750	0.132151	0.018372	0.000000	0.038356	0.085567	0.037981	0.086363	0.132211
JP-Sap2	0.125378	0.053046	0.062368	0.016397	0.016546	0.100946	0.088613	0.066135	0.076478	0.011555	0.015586	0.016958	0.037794	0.039897	0.022745	0.057906	0.067068	0.038852	0.142163	0.038985	0.038951	0.093331	0.037497	0.038356	0.000000	0.060201	0.010591	0.064048	0.093347
DE-Jen2	0.037990	0.012066	0.011094	0.059261	0.060273	0.019854	0.018172	0.010894	0.015478	0.059224	0.064583	0.058824	0.086718	0.092849	0.057954	0.112378	0.114990	0.087947	0.202232	0.086904	0.091228	0.018930	0.081645	0.085567	0.060201	0.000000	0.061372	0.012347	0.016563
JP-Kan	0.116974	0.053166	0.061193	0.016497	0.015593	0.096228	0.086350	0.065972	0.074889	0.011910	0.016856	0.016772	0.037379	0.039533	0.027214	0.056764	0.064183	0.038320	0.130963	0.038371	0.038772	0.090280	0.036205	0.037981	0.010591	0.061372	0.000000	0.062774	0.089845
FR-Lez2	0.034439	0.009200	0.007117	0.066809	0.066160	0.016757	0.015012	0.009292	0.014584	0.063733	0.071271	0.067077	0.086533	0.095348	0.071438	0.116459	0.117720	0.088245	0.198607	0.087222	0.088218	0.016431	0.084028	0.086363	0.064048	0.012347	0.062774	0.000000	0.013423
IT-Tre2	0.032322	0.019528	0.014504	0.094153	0.089911	0.010052	0.012026	0.014133	0.017745	0.090409	0.100677	0.095004	0.132088	0.138273	0.088208	0.156745	0.160097	0.133723	0.241316	0.131366	0.137536	0.010644	0.124849	0.132211	0.093347	0.016563	0.089845	0.013423	0.000000
